timestamp,benchmark,algo,n_evals,seed,alpha,beta,gamma,grid,overlap_grid,best_cost,hpwl,max_congestion,avg_congestion,overflow_ratio,overlap_ratio,exec_time_sec
2025-11-16 19:14:44,bigblue1,SHO,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.1982666498050345,99859748.0,2.0062085335754993,0.010595158594332231,0.030517578125,0.9569044674186773,1583.9593713283539
2025-11-16 21:03:20,bigblue1,WOA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.26973981224633015,3321753085.9101343,5683.309355548239,1.611987411188132,0.009521484375,0.06132314732088009,6452.436904191971
2025-11-16 21:28:28,bigblue1,SA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.19826498262554432,99860928.16711204,1180167114.039223,288126.7469313438,0.000244140625,0.9569032260326549,399.06276273727417
2025-11-16 21:57:08,bigblue1,SHO,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.1982666498050345,99859748.0,2.0062085335754993,0.010595158594332231,0.030517578125,0.9569044674186773,1610.1022012233734
2025-11-16 22:06:22,bigblue1,WOA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.1430144124921183,122072215.19770136,5433661272663.885,1334653065.737855,0.000732421875,0.39001604504376874,499.98472690582275
2025-11-16 22:19:19,bigblue1,SA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.19826498262554432,99860928.16711204,1180167114.039223,288126.7469313438,0.000244140625,0.9569032260326549,511.1552736759186
2025-11-16 22:42:54,bigblue1,SA,120,42,0.8,0.0001,0.05,"(32, 32)","(64, 64)",0.05628179622005161,99860336.62936202,588629365.9272045,574833.403716657,0.0009765625,0.9053442912867155,331.89986777305603
2025-11-16 22:52:04,bigblue1,SHO,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.1982666498050345,99859748.0,2.0062085335754993,0.010595158594332231,0.030517578125,0.9569044674186773,1823.1544795036316
2025-11-16 23:02:25,bigblue1,WOA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.1430144124921183,122072215.19770136,5433661272663.885,1334653065.737855,0.000732421875,0.39001604504376874,564.8873105049133
2025-11-16 23:03:02,bigblue1,SA,120,42,0.8,0.0001,0.05,"(32, 32)","(64, 64)",0.05628179622005161,99860336.62936202,588629365.9272045,574833.403716657,0.0009765625,0.9053442912867155,327.3831524848938
2025-11-16 23:13:20,bigblue1,SHO,120,42,0.8,0.0001,0.05,"(32, 32)","(64, 64)",0.0562820131615407,99859748.0,3.919117327981033,0.04238063437732936,0.046875,0.9053442912867155,1692.5677604675293
2025-11-16 23:20:55,bigblue1,WOA,120,42,0.8,0.0001,0.05,"(32, 32)","(64, 64)",0.03249537807620282,121529318.03797469,5441762134588.885,5314220834.594507,0.0009765625,0.38181463771396806,417.7335858345032
2025-11-16 23:39:27,bigblue1,SHO,120,42,0.8,0.0001,0.05,"(32, 32)","(64, 64)",0.0562820131615407,99859748.0,3.919117327981033,0.04238063437732936,0.046875,0.9053442912867155,2080.141696691513
2025-11-16 23:56:45,bigblue1,WOA,120,42,0.8,0.0001,0.05,"(32, 32)","(64, 64)",0.03249537807620282,121529318.03797469,5441762134588.885,5314220834.594507,0.0009765625,0.38181463771396806,1000.5021252632141
2025-11-17 00:13:49,bigblue1,SA,120,42,0.8,0.0001,0.05,"(32, 32)","(64, 64)",0.05628179622005161,99860336.62936202,588629365.9272045,574833.403716657,0.0009765625,0.9053442912867155,422.2601749897003
2025-11-17 00:20:30,bigblue1,SA,120,42,0.9,1e-05,0.001,"(32, 32)","(64, 64)",0.013296603702167037,99859748.0,3.919117327981033,0.04238063437732936,0.046875,0.9053442912867155,302.0715754032135
2025-11-17 00:43:03,bigblue1,SHO,120,42,0.8,0.0001,0.05,"(32, 32)","(64, 64)",0.0562820131615407,99859748.0,3.919117327981033,0.04238063437732936,0.046875,0.9053442912867155,1651.1783332824707
2025-11-17 00:49:40,bigblue1,SHO,120,42,0.9,1e-05,0.001,"(32, 32)","(64, 64)",0.013296603702167037,99859748.0,3.919117327981033,0.04238063437732936,0.046875,0.9053442912867155,1639.6760880947113
2025-11-17 00:50:40,bigblue1,WOA,120,42,0.8,0.0001,0.05,"(32, 32)","(64, 64)",0.03249537807620282,121529318.03797469,5441762134588.885,5314220834.594507,0.0009765625,0.38181463771396806,418.60822319984436
2025-11-17 00:56:54,bigblue1,WOA,120,42,0.9,1e-05,0.001,"(32, 32)","(64, 64)",0.015459197688953047,121506741.7066504,5439901999930.46,5312404296.842092,0.0009765625,0.381872234540149,394.3698265552521
